,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,precision,recall,f1,mean_confidence,median_confidence,min_confidence,low_confidence_samples,high_confidence_samples,10_Livres_precision,10_Livres_recall,10_Livres_f1,10_Livres_mean_confidence,10_Livres_correct_high_confidence,40_DVD & Films_precision,40_DVD & Films_recall,40_DVD & Films_f1,40_DVD & Films_mean_confidence,40_DVD & Films_correct_high_confidence,50_Jouets & Jeux_precision,50_Jouets & Jeux_recall,50_Jouets & Jeux_f1,50_Jouets & Jeux_mean_confidence,50_Jouets & Jeux_correct_high_confidence,60_Consoles_precision,60_Consoles_recall,60_Consoles_f1,60_Consoles_mean_confidence,60_Consoles_correct_high_confidence,1140_TV_precision,1140_TV_recall,1140_TV_f1,1140_TV_mean_confidence,1140_TV_correct_high_confidence,1160_Électroménager_precision,1160_Électroménager_recall,1160_Électroménager_f1,1160_Électroménager_mean_confidence,1160_Électroménager_correct_high_confidence,1180_Décoration_precision,1180_Décoration_recall,1180_Décoration_f1,1180_Décoration_mean_confidence,1180_Décoration_correct_high_confidence,1280_Accessoires téléphones_precision,1280_Accessoires téléphones_recall,1280_Accessoires téléphones_f1,1280_Accessoires téléphones_mean_confidence,1280_Accessoires téléphones_correct_high_confidence,1281_Téléphonie fixe_precision,1281_Téléphonie fixe_recall,1281_Téléphonie fixe_f1,1281_Téléphonie fixe_mean_confidence,1281_Téléphonie fixe_correct_high_confidence,1300_Jeux vidéo ancien_precision,1300_Jeux vidéo ancien_recall,1300_Jeux vidéo ancien_f1,1300_Jeux vidéo ancien_mean_confidence,1300_Jeux vidéo ancien_correct_high_confidence,1301_Consoles rétro_precision,1301_Consoles rétro_recall,1301_Consoles rétro_f1,1301_Consoles rétro_mean_confidence,1301_Consoles rétro_correct_high_confidence,1302_Jeux vidéo rétro_precision,1302_Jeux vidéo rétro_recall,1302_Jeux vidéo rétro_f1,1302_Jeux vidéo rétro_mean_confidence,1302_Jeux vidéo rétro_correct_high_confidence,1320_CD_precision,1320_CD_recall,1320_CD_f1,1320_CD_mean_confidence,1320_CD_correct_high_confidence,1560_Photos_precision,1560_Photos_recall,1560_Photos_f1,1560_Photos_mean_confidence,1560_Photos_correct_high_confidence,1920_Musique amplifiée_precision,1920_Musique amplifiée_recall,1920_Musique amplifiée_f1,1920_Musique amplifiée_mean_confidence,1920_Musique amplifiée_correct_high_confidence,1940_Instrument musique_precision,1940_Instrument musique_recall,1940_Instrument musique_f1,1940_Instrument musique_mean_confidence,1940_Instrument musique_correct_high_confidence,2060_Articles soins_precision,2060_Articles soins_recall,2060_Articles soins_f1,2060_Articles soins_mean_confidence,2060_Articles soins_correct_high_confidence,2220_Puériculture_precision,2220_Puériculture_recall,2220_Puériculture_f1,2220_Puériculture_mean_confidence,2220_Puériculture_correct_high_confidence,2280_Jeux vidéo_precision,2280_Jeux vidéo_recall,2280_Jeux vidéo_f1,2280_Jeux vidéo_mean_confidence,2280_Jeux vidéo_correct_high_confidence,2403_Livres en langues étrangères_precision,2403_Livres en langues étrangères_recall,2403_Livres en langues étrangères_f1,2403_Livres en langues étrangères_mean_confidence,2403_Livres en langues étrangères_correct_high_confidence,2462_Fournitures bureau_precision,2462_Fournitures bureau_recall,2462_Fournitures bureau_f1,2462_Fournitures bureau_mean_confidence,2462_Fournitures bureau_correct_high_confidence,2522_Équipement bébé_precision,2522_Équipement bébé_recall,2522_Équipement bébé_f1,2522_Équipement bébé_mean_confidence,2522_Équipement bébé_correct_high_confidence,2582_Matériel & accessoires_precision,2582_Matériel & accessoires_recall,2582_Matériel & accessoires_f1,2582_Matériel & accessoires_mean_confidence,2582_Matériel & accessoires_correct_high_confidence,2583_Articles sport_precision,2583_Articles sport_recall,2583_Articles sport_f1,2583_Articles sport_mean_confidence,2583_Articles sport_correct_high_confidence,2585_Sports & Loisirs_precision,2585_Sports & Loisirs_recall,2585_Sports & Loisirs_f1,2585_Sports & Loisirs_mean_confidence,2585_Sports & Loisirs_correct_high_confidence,2705_Accessoires console_precision,2705_Accessoires console_recall,2705_Accessoires console_f1,2705_Accessoires console_mean_confidence,2705_Accessoires console_correct_high_confidence,2905_Instruments musique_precision,2905_Instruments musique_recall,2905_Instruments musique_f1,2905_Instruments musique_mean_confidence,2905_Instruments musique_correct_high_confidence
xgboost,0.619,0.595,0.602,0.59,0.638,0.619,0.622,"[0.518 0.519 0.406 0.629 0.557 0.891 0.605 0.478 0.322 0.665 0.724 0.336
 0.471 0.689 0.814 0.507 0.519 0.592 0.75  0.696 0.556 0.711 0.421 0.879
 0.357 0.718 0.737]","[0.618 0.582 0.467 0.675 0.691 0.865 0.32  0.293 0.355 0.723 0.702 0.508
 0.532 0.505 0.807 0.689 0.541 0.352 0.689 0.613 0.542 0.676 0.506 0.711
 0.555 0.848 0.885]","[0.564 0.548 0.434 0.651 0.617 0.877 0.419 0.363 0.338 0.693 0.713 0.404
 0.5   0.583 0.81  0.584 0.529 0.441 0.718 0.651 0.549 0.693 0.459 0.786
 0.435 0.777 0.804]",0.671,0.696,0.109,5683,7181,0.518,0.618,0.564,0.523,0.504,0.519,0.582,0.548,0.466,0.507,0.406,0.467,0.434,0.351,0.389,0.629,0.675,0.651,0.624,0.839,0.557,0.691,0.617,0.578,0.618,0.891,0.865,0.877,0.813,0.865,0.605,0.32,0.419,0.266,0.408,0.478,0.293,0.363,0.262,0.414,0.322,0.355,0.338,0.258,0.218,0.665,0.723,0.693,0.579,0.537,0.724,0.702,0.713,0.59,0.664,0.336,0.508,0.404,0.386,0.352,0.471,0.532,0.5,0.424,0.464,0.689,0.505,0.583,0.462,0.659,0.814,0.807,0.81,0.754,0.845,0.507,0.689,0.584,0.621,0.757,0.519,0.541,0.529,0.387,0.35,0.592,0.352,0.441,0.319,0.534,0.75,0.689,0.718,0.599,0.61,0.696,0.613,0.651,0.512,0.538,0.556,0.542,0.549,0.484,0.688,0.711,0.676,0.693,0.568,0.636,0.421,0.506,0.459,0.427,0.5,0.879,0.711,0.786,0.621,0.703,0.357,0.555,0.435,0.427,0.444,0.718,0.848,0.777,0.772,0.786,0.737,0.885,0.804,0.82,0.831
neural_net,0.624,0.586,0.613,0.595,0.641,0.624,0.627,"[0.517 0.539 0.426 0.64  0.623 0.87  0.477 0.479 0.329 0.702 0.635 0.425
 0.503 0.646 0.783 0.55  0.521 0.477 0.716 0.716 0.529 0.742 0.357 0.911
 0.358 0.723 0.641]","[0.599 0.518 0.536 0.717 0.68  0.901 0.399 0.343 0.336 0.724 0.758 0.516
 0.551 0.537 0.844 0.714 0.517 0.442 0.711 0.562 0.585 0.66  0.515 0.697
 0.573 0.817 0.799]","[0.555 0.528 0.474 0.676 0.65  0.885 0.434 0.4   0.332 0.713 0.691 0.466
 0.526 0.586 0.812 0.622 0.519 0.459 0.714 0.63  0.555 0.699 0.422 0.79
 0.441 0.767 0.711]",0.638,0.674,0.064,6160,6751,0.517,0.599,0.555,0.453,0.381,0.539,0.518,0.528,0.354,0.296,0.426,0.536,0.474,0.422,0.483,0.64,0.717,0.676,0.596,0.697,0.623,0.68,0.65,0.524,0.548,0.87,0.901,0.885,0.809,0.844,0.477,0.399,0.434,0.322,0.574,0.479,0.343,0.4,0.271,0.281,0.329,0.336,0.332,0.223,0.194,0.702,0.724,0.713,0.539,0.446,0.635,0.758,0.691,0.614,0.672,0.425,0.516,0.466,0.424,0.56,0.503,0.551,0.526,0.42,0.493,0.646,0.537,0.586,0.448,0.594,0.783,0.844,0.812,0.759,0.836,0.55,0.714,0.622,0.575,0.652,0.521,0.517,0.519,0.393,0.457,0.477,0.442,0.459,0.34,0.507,0.716,0.711,0.714,0.586,0.6,0.716,0.562,0.63,0.425,0.387,0.529,0.585,0.555,0.464,0.536,0.742,0.66,0.699,0.534,0.633,0.357,0.515,0.422,0.42,0.509,0.911,0.697,0.79,0.59,0.692,0.358,0.573,0.441,0.449,0.51,0.723,0.817,0.767,0.643,0.557,0.641,0.799,0.711,0.602,0.482
